page	line	left	right	verdict	after
14	11	6	and	split	Reduce 21 and 28 by dividing by 7. Reduce 6 and 16 by dividing by 2
22	14	=3	and	other	p(q + 6)when p =3 and q = 5
22	15	3	and	split	Replace p with 3 and q with 5
25	5	6	and	split	6 ; use p = 6 and q =5
29	6	7	is	split	The 7 is added to the x
29	7	7	from	split	Subtract 7 from both sides to get rid of it
29	28	5	is	split	The 5 is negative, or subtracted from x
29	29	5	to	split	Add 5 to both sides
34	21	4	from	split	Subtract 4 from both sides
34	34	8	from	split	Subtract 8 from both sides
37	35	3	to	split	+3 +3 Add 3 to both sides
38	23	6	to	split	Add 6 to both sides
39	36	3	and−	other	Distribute 3 and− 4 through parenthesis
40	19	3	through	split	Distribute 4 and 3 through parenthesis
40	20	+9	and	other	Combine like terms− 24 +9 and 3x + 8x
40	33	2	in	split	Plug 2 in for each x. Multiply inside parenthesis
41	28	2	through	split	Distribute 2 through parenthesis
44	52	1	from	split	Subtract 1 from both sides
51	43	4	for	split	47) 5a− 7b = 4 for b
51	89	8	for	split	48) 4x− 5y = 8 for x
52	27	5	from	split	Subtract 5 from both sides
54	16	2	from	split	Subtract 2 from both sides
55	5	7	from	split	Subtract 7 from both sides
58	35	2	and	split	x is jointly proportional to y and z and x =48 when y = 2 and z = 4
65	37	1(2	total)to	other	Add another 1(2 total)to get the third
66	9	2	to	split	Even numbers, so we add 2 to get the next
66	11	(4	total)to	other	Add 2 more (4 total)to get the third
66	21	6	from	split	Subtract 6 from both sides
66	45	(4	total)to	other	Add 2 more (4 total)to get the third
72	46	2	to	split	2 to both Adam′s and Brian′s now column as shown
73	39	5	in	split	Five years ago is− 5 in the change column.
73	51	5	from	split	Subtract 5 from now column to get the change
74	20	2	from	split	Subtract 2 from both sides
74	41	+2	for	other	The change is +2 for two years in the future
75	7	2	from	split	Subtract 2 from both sides
75	51	8	added	split	Now we have an 8 added to the t
80	37	8	miles,	split	8 We have total distance, 8 miles, under distance
81	7	2	mph	split	Bob walks 2 mph faster than Fred
81	9	2	mph	split	Bob is r + 2, showing 2 mph faster
81	38	4	in	split	To answer the question completely we plug 4 in for
82	47	6	showing	split	Mike′s time is t + 6 showing his 6 hour head start
82	47	6	hour	split	Mike′s time is t + 6 showing his 6 hour head start
83	1	2	hours	split	Our solution for t, she catches him after 2 hours
83	58	2	in	split	To answer the question we plug 2 in for t
92	21	6	to	split	+6 + 6 Add 6 to both sides
98	42	1	to	split	Add 1 to both sides
99	26	6	from	split	Subtract 6 from both sides
109	20	4	to	split	+4 + 4 Add 4 to both sides
114	24	9	from	split	Subtract 9 from both sides
114	45	4	to	split	Add 4 to each side
