page	line	token	pieces	leftFont	rightFont	fontChange	gapEm	dy	spaceGlyph	native	found
19	3	Tuesday,	Tue + sday,	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	Tuesday, September 11, 2001, dawned temperate and nearly cloudless in	yes
19	3	September	Se + ptembe + r	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	Tuesday, September 11, 2001, dawned temperate and nearly cloudless in	yes
19	3	September	Se + ptembe + r	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	Tuesday, September 11, 2001, dawned temperate and nearly cloudless in	yes
19	3	2001,	20 + 01,	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.124	0.00	no	Tuesday, September 11, 2001, dawned temperate and nearly cloudless in	yes
27	6	ExecutiveVice	Executive + Vice	KAFHKN+Bembo	KAFHKN+Bembo	no	0.110	0.00	no	At 9:00,American Airlines ExecutiveVice President Gerard Arpey learned	yes
52	10	FAA.175This	FAA.175 + This	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.116	-2.25	no	the FAA.175This statement was incorrect.There was no hijack to report at 9:16.	yes
60	24	LarryArnold	Larry + Arnold	KAFHKN+Bembo	KAFHKN+Bembo	no	0.135	0.00	no	NORAD.But we know that at 10:31,General LarryArnold instructed his staff	yes
89	3	chapter	chapte + r	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	In chapter 2, we described the growth of a new kind of terrorism, and a	yes
96	16	Act.29This	Act.29 + This	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.116	-2.25	no	1978 Congress passed the Foreign Intelligence Surveillance Act.29This law reg-	yes
131	37	JoWhite,	Jo + White,	KAFHKN+Bembo	KAFHKN+Bembo	no	0.129	0.00	no	of the FBI’s NewYork Field Office, in briefing Mary JoWhite, the U.S.Attor-	yes
138	13	network.”57The	network.”57 + The	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.122	-2.25	no	icans”from the “Bin Ladin network.”57The paper called for diplomacy to deny	yes
140	14	1997.67Though	1997.67 + Though	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.114	-2.25	no	been detained by the Saudi government in 1997.67Though U.S.officials repeat-	yes
146	21	Iraq.”110This	Iraq.”110 + This	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.137	-2.25	no	used by Iraq.”110This language about al Qaeda’s “understanding”with Iraq had	yes
152	18	Baghdad.”135Though	Baghdad.”135 + Though	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.115	-2.25	no	knowledge,old wily Usama will likely boogie to Baghdad.”135Though told also	yes
156	27	CIA.161When	CIA.161 + When	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.137	-2.25	no	interagency meeting and cleared with the CIA.161When the former Bin Ladin	yes
165	16	whileYousef	while + Yousef	KAFHKN+Bembo	KAFHKN+Bembo	no	0.100	0.00	no	During the fall of 1992, whileYousef was building the bomb he would use in	yes
170	24	ofYemen.27	of + Yemen.27	KAFHKN+Bembo	KAFHKN+Bembo	no	0.100	0.00	no	plying the waters along the southwest coast ofYemen.27	yes
173	45	theYemeni	the + Yemeni	KAFHKN+Bembo	KAFHKN+Bembo	no	0.102	0.00	no	was wanted by theYemeni authorities.44	yes
174	17	forYemenis.To	for + Yemenis.To	KAFHKN+Bembo	KAFHKN+Bembo	no	0.109	0.00	no	were fewer martyrdom opportunities forYemenis.To overcome this problem,	yes
177	29	toYemen	to + Yemen	KAFHKN+Bembo	KAFHKN+Bembo	no	0.102	0.00	no	eled toYemen instead.61	yes
186	30	fromYemen—especially	from + Yemen—especially	KAFHKN+Bembo	KAFHKN+Bembo	no	0.106	0.00	no	generalized suspicion that visa applicants fromYemen—especially young men	yes
192	3	chapters	chapte + r + s	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	In chapters 3 and 4 we described how the U.S. government adjusted its	yes
192	3	chapters	chapte + r + s	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	In chapters 3 and 4 we described how the U.S. government adjusted its	yes
194	33	necessary.16Tenet	necessary.16 + Tenet	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.124	-2.25	no	used if necessary.16Tenet would later send a message to all CIA personnel over-	yes
199	15	fromYemen.43	from + Yemen.43	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	traveled fromYemen.43	yes
200	26	“where.”59The	“where.”59 + The	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.126	-2.25	no	question not of “if”but rather of “when”and “where.”59The Principals Com=	yes
203	11	theTreasury	the + Treasury	KAFHKN+Bembo	KAFHKN+Bembo	no	0.102	0.00	no	Emergency Economic Powers Act.This gave theTreasury Department’s Office	yes
211	40	inWashington	in + Washington	KAFHKN+Bembo	KAFHKN+Bembo	no	0.105	0.00	no	both Ambassador Bodine inYemen and CIA analysts inWashington presumed	yes
217	1	askedTenet	asked + Tenet	KAFHKN+Bembo	KAFHKN+Bembo	no	0.106	0.00	no	us he askedTenet whether the CIA could kill Bin Ladin,andTenet replied that	yes
219	22	theTaliban	the + Taliban	KAFHKN+Bembo	KAFHKN+Bembo	no	0.100	0.00	no	to theTaliban and Pakistan over the al Qaeda sanctuary in Afghanistan,on pos=	yes
220	2	BeforeVice	Before + Vice	KAFHKN+Bembo	KAFHKN+Bembo	no	0.106	0.00	no	forced into knee-jerk responses.”177 BeforeVice President Cheney visited the	yes
229	4	theTaliban	the + Taliban	KAFHKN+Bembo	KAFHKN+Bembo	no	0.101	0.00	no	reconnaissance purposes.He recalled that theTaliban had spotted a Predator in	yes
230	12	callTenet.“Either	call + Tenet.“Either	KAFHKN+Bembo	KAFHKN+Bembo	no	0.101	0.00	no	straw.He angrily asked Rice to callTenet.“Either al Qida is a threat worth act=	yes
234	13	went.8They	went.8 + They	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.111	-2.25	no	Airport,we do not know where they went.8They appear to have obtained assis=	yes
238	32	toYemen	to + Yemen	KAFHKN+Bembo	KAFHKN+Bembo	no	0.109	0.00	no	charges), he was deported toYemen on May 21, 2004, after the U.S.Attorney	yes
239	8	inYemen	in + Yemen	KAFHKN+Bembo	KAFHKN+Bembo	no	0.106	0.00	no	thus a U.S. citizen,Aulaqi grew up inYemen and studied in the United States	yes
240	7	inYemen,	in + Yemen,	KAFHKN+Bembo	KAFHKN+Bembo	no	0.101	0.00	no	Mihdhar’s mind seems to have been with his family back inYemen, as evi=	yes
266	39	LasVegas’s	Las + Vegas’s	KAFHKN+Bembo	KAFHKN+Bembo	no	0.111	0.00	no	Beyond LasVegas’s reputation for welcoming tourists, we have seen no credi=	yes
270	21	delayedTal=	delayed + Tal=	KAFHKN+Bembo	KAFHKN+Bembo	no	0.108	0.00	no	But on September 9,the Massoud assassination took place.The delayedTal=	yes
280	30	toWashington)	to + Washington)	KAFHKN+Bembo	KAFHKN+Bembo	no	0.112	0.00	no	ident between August 31 (after the President had returned toWashington) and	yes
283	7	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	NewYork Field Office.50	yes
284	24	inYemen	in + Yemen	KAFHKN+Bembo	KAFHKN+Bembo	no	0.101	0.00	no	One of the members of the FBI’s investigative team inYemen realized that	yes
284	41	suspicious.59Yet	suspicious.59 + Yet	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.111	-2.26	no	seem even more suspicious.59Yet we found no effort by the CIA to renew the	yes
290	20	General.86We	General.86 + We	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.130	-2.25	no	Department of Justice Inspector General.86We will recap it briefly here.In July	yes
293	17	InternationalTerrorism	International + Terrorism	KAFHKN+Bembo	KAFHKN+Bembo	no	0.105	0.00	no	InternationalTerrorism Operations Section (ITOS), recalled being told about	yes
293	28	NewYork.	New + York.	KAFHKN+Bembo	KAFHKN+Bembo	no	0.100	0.00	no	from London to NewYork. He was told that the FBI had arrested Moussaoui	yes
296	15	TheWTC	The + WTC	KAFHKN+Bembo	KAFHKN+Bembo	no	0.111	0.00	no	TheWTC actually consisted of seven buildings,including one hotel,spread	yes
298	3	theTwinTowers.The	theTwin + Towers.The	KAFHKN+Bembo	KAFHKN+Bembo	no	0.104	0.00	no	nated on a parking garage ramp beneath theTwinTowers.The explosion killed	yes
298	20	theWTC	the + WTC	KAFHKN+Bembo	KAFHKN+Bembo	no	0.101	0.00	no	Towers with the false impression that helicopter rescues were part of theWTC	yes
299	29	PortAuthority	Port + Authority	KAFHKN+Bembo	KAFHKN+Bembo	no	0.132	0.00	no	York,the NewYork Police Department,the PortAuthority Police Department	yes
301	26	PortAuthority	Port + Authority	KAFHKN+Bembo	KAFHKN+Bembo	no	0.126	0.00	no	to be activated by members of the PortAuthority police when the FDNY units	yes
302	12	NewYork.”	New + York.”	KAFHKN+Bembo	KAFHKN+Bembo	no	0.104	0.00	no	Control of Emergencies in the City of NewYork.” Its purpose was to elim=	yes
309	2	knewthat	knew + that	KAFHKN+Bembo	KAFHKN+Bembo	no	0.245	0.00	no	inoperable....We knewthat at the height of the day there were as many	yes
316	6	NorthTower	North + Tower	KAFHKN+Bembo	KAFHKN+Bembo	no	0.110	0.00	no	or receive communications—the chiefs in the NorthTower lobby decided not	yes
320	37	andVesey	and + Vesey	KAFHKN+Bembo	KAFHKN+Bembo	no	0.105	0.00	no	The ESU command post at Church andVesey streets coordinated all NYPD	yes
321	40	theWTC	the + WTC	KAFHKN+Bembo	KAFHKN+Bembo	no	0.100	0.00	no	north and east and then out of theWTC complex.This exit route ensured that	yes
