page	previous_page_last_note	first_note_start	lines_above_first_start	first_line_edge	continuation_opens	baseline	candidate	first_text
469				heading (page 468 is not a notes page)		separate	separate	1 “We Have Some Planes”
470	c1-9	c1-10	0	no-lead		note-start	note-start	10. See TSA report,“Selectee Status of September 1
471	c1-25	c1-26	8	lead-at-dedent	lowercase	joined	joined	common tactics employed by the hijackers, the alle
472	c1-37	c1-38	0	no-lead		note-start	note-start	38. Ibid.; Michael Woodward interview (Jan. 25, 20
473	c1-54	c1-55	3	lead-at-dedent	number	separate	joined	24,2003);Linda Povinelli interview (Sept.24,2003);
474	c1-69	c1-70	5	lead-at-dedent	lowercase	joined	joined	leagues assisted him,Ballinger remained responsibl
475	c1-80	c1-81	0	no-lead		note-start	note-start	81. FBI reports of investigation, interviews of re
476	c1-98	c1-99	4	lead-at-dedent	lowercase	joined	joined	group loaded a Learjet with explosives and took of
477	c1-116	c1-117	0	no-lead		note-start	note-start	117. For the distance between Otis Air Force Base 
478	c1-128	c1-129	0	no-lead		note-start	note-start	129. FAA memo,“Full Transcript; Aircraft Accident;
479	c1-147	c1-148	0	no-lead		note-start	note-start	148. NEADS audio file, Identification Technician p
480	c1-168	c1-169	9	lead-at-dedent	lowercase	joined	joined	ment of Natural Resources). But the seismic data o
481	c1-189	c1-190	0	no-lead		note-start	note-start	190. Patrick Gardner interview (May 12, 2004). For
482	c1-207	c1-208	0	no-lead		note-start	note-start	208.USSS memo,interview of Gregory LaDow,Oct.1,200
483	c1-218	c1-219	0	no-lead		note-start	note-start	219. For Libby’s characterization, see White House
484	c1-240	c1-241	2	lead-at-dedent	lowercase	joined	joined	authority at 10:31,see DOD record,Continental Regi
485	c2-22	c2-23	2	lead-at-dedent	lowercase	joined	joined	most accounts, Bin Ladin initially viewed Azzam as
486	c2-41	c2-42	0	no-lead		note-start	note-start	42.Intelligence report,Fatwa to attack U.S.interes
487	c2-56	c2-57	2	lead-at-dedent	capital	separate	joined	Security Assistance Provided for the Attackers, Fe
488	c2-73	c2-74	4	lead-at-dedent	capital	separate	joined	KSM, Bin Ladin moved to Kandahar “by order of Emir
489	c2-85	c2-86	7	lead-at-dedent	capital	separate	joined	Usama Bin Ladin, Iran, and the NIF, Jan. 31, 1997;
490	c3-7	c3-8	4	lead-at-dedent	lowercase	joined	joined	of theVisa-Issuance Process Phase I: Circumstances
491	c3-22	c3-23	6	lead-at-dedent	lowercase	joined	joined	bers, see DOJ Inspector General report,“Review of 
492	c3-34	c3-35	2	lead-at-dedent	lowercase	joined	joined	dix D tab 23. Some barriers were proposed by OIPR 
493	c3-43	c3-44	2	lead-at-dedent	lowercase	joined	joined	rity Strategy and Casework Oversight”). On the wor
494	c3-52	c3-53	0	no-lead		note-start	note-start	53.Regarding intelligence reports,the Daily Intell
495	c3-62	c3-63	0	no-lead		note-start	note-start	63. Jane Garvey interview (Oct. 21, 2003).
496	c3-92	c4-93	2	lead-at-dedent	lowercase	joined	joined	tic Preparedness Program in the Defense Against We
497	c4-112	c3-113	0	no-lead		note-start	note-start	113. Rep. Christopher Shays of Connecticut, chairm
498	c4-7	c4-8	38	lead-at-indent	capital	separate	separate	President Clinton, in a February 2002 speech to th
499	c4-16	c4-17	1	lead-at-dedent	lowercase	joined	joined	view, see Anthony Zinni interview (Jan. 29, 2004).
500	c4-45	c4-46	3	lead-at-dedent	capital	separate	joined	Senate; the list explicitly mentions the Attorney 
501	c4-68	c4-69	1	lead-at-dedent	capital	separate	joined	Simon to Berger,“Talking Points for Lott-Gingrich 
502	c4-88	c4-89	3	lead-at-dedent	capital	separate	joined	Times, Jan. 20, 2002, p.A1. Enforcing the financia
503	c4-112	c4-113	0	no-lead		note-start	note-start	113. On further information, see Intelligence repo
504	c4-131	c4-132	0	no-lead		note-start	note-start	132. NSC email,Ward to Clarke and others, Jan. 5, 
505	c4-164	c4-165	0	no-lead		note-start	note-start	165.Theodore Kattouf interview (Apr. 21, 2004). Ka
506	c4-190	c4-191	6	lead-at-dedent	quotation/bracket	separate	joined	“Outline of Program to Build Pakistan Team to Seek
507	c5-7	c5-8	4	lead-at-dedent	lowercase	joined	joined	it on the front lines in Afghanistan).According to
508	c5-16	c5-17	5	lead-at-dedent	number	separate	joined	19, 2004. On KSM’s assistance to al Qaeda, see Int
509	c5-27	c5-28	2	lead-at-dedent	capital	separate	joined	KSM, Nov. 21, 2003. On Nashiri’s idea for his firs
510	c5-36	c5-37	0	no-lead		note-start	note-start	37. Intelligence report, interrogation of KSM, Feb
511	c5-47	c5-48	6	lead-at-dedent	lowercase	joined	joined	alternate scenario, see Intelligence report, inter
512	c5-59	c5-60	3	lead-at-dedent	lowercase	joined	joined	of toothpaste and shaving cream with metallic exte
