compound	23	removeHyphen	hapter VL INVESTIGATION OF POSSIBLE CON-	SPIRACY 243
compound	24	removeHyphen	apter YI. INVESTIGATION OF POSSIBLE CON-	SPIRACY—Continued
compound	25	removeHyphen	apter VIII. THE PEOTECTION OF THE PRESI-	DENT—Continued Page
compound	25	removeHyphen	 Appendix IX. AUTOPSY REPORT AND SUPPLE-	MENTAL REPORT 538
compound	26	removeHyphen	pendix XL REPORTS RELATING TO THE INTER-	ROGATION OF LEE HARVEY OSWALD AT THE
compound	27	removeHyphen	FINANCES FROM JUNE 13, 1962, THROUGH NO-	VEMBER 22, 1963 741
compound	27	removeHyphen	pendix XV. TRANSACTIONS BETWEEN LEE HAR-	VEY OSWALD AND MARINA OSWALD, AND THE
compound	27	concatenate	 U.S. DEPARTMENT OF STATEAND THEIMMIGRA-	TION AND NATURALIZATION SERVICE OF THE
block	31	-1	t's right, and he waved to the crowd as-	sembled there as he passed the building.
block	46	-1	illed President Kennedy and wounded Gov-	ernor Connally were fired from the sixth
block	47	-1	ry to any essential findings of the Com-	mission to determine just which shot hit
block	48	-1	s Police Patrolman J. D. Tippit approxi-	mately 45 minutes after the assassinatio
block	48	-1	ached the following conclusions concern-	ing Oswald's interrogation and detention
block	49	-1	ached the following conclusions concern-	ing the killing of Oswald by Jack Euby o
block	53	-1	dvanced to the Commission for the trans-	fer of all or parts of the Presidential 
block	54	-1	eves that when the new criteria and pro-	cedures are established, the Secret Serv
block	54	-1	mends that the President's physician al-	ways accompany him during his travels an
block	54	-1	ommends to Congress that it adopt legis-	lation which would make the assassinatio
block	54	-1	 examined the Department of State's han-	dling of the Oswald matters and finds th
compound	63	removeHyphen	 ENTRANCE TO DEALEY PLAZA FROM INTERSEC-	TION OF HOUSTON AND ELM STS
compound	67	concatenate	 to the Stemmons Freeway and the Dallas-	Fort Worth Turnpike. (See Commission Exh
compound	68	concatenate	ginning on September 13, when the Times-	Herald announced in a front page article
compound	68	concatenate	and courtesy. An editorial in the Times-	Herald of September 17 called on the peo
block	71	-1	by officers of the Dallas Police Depart-	ment, this automobile preceded the main 
compound	116	concatenate	ade to insert tubes during the tracheot-	Qj^y 166 ^Q |3Qj-^g ^^3 struck by the bu
block	116	-1	 entrance. * * * The basis for that con-	clusion is that this wound was relativel
block	123	-1	(2) the test ma-	terial hada smaller entry woundandalarge
compound	134	concatenate	elescopic sight of the C2766 Mannlicher-	Carcano rifle from the sixth-floor windo
block	143	-1	alled that the shot which hit the Presi-	dent's head"wasthe last shot—that muchI 
block	162	-1	uch attention the way he was walking be-	cause I was walking along there lookmg a
block	163	-1	^Using a stand-	ard chemical method involving silver nit
block	197	-1	 of a used-car lot located on the south-	east corner of this intersection.^^^ Fou
block	199	-1	 10th and Patton by three of the eyewit-	nesses—Domingo Benavides, Barbara Jeanet
compound	200	concatenate	acture is missing or one used Remington-	Peters cartridge case, which may have be
compound	214	concatenate	ullet was not fired from the Mannlicher-	Carcano rifle owned by Lee Harvey Oswald
compound	216	removeHyphen	ent Kichard M. Nixon.'*^ When Marina Os-	Avald testified before the Commission on
block	219	-1	rpshooter" in a scale of marksman—sharp-	shooter—expert."^" In May of 1959, on an
block	219	-1	t [212] he had just completed a very in-	tensive preliminary training period. He 
compound	225	concatenate	Oswald's route between Homicide-	Robbery Bureau and jail elevator lobby
block	226	-1	at 1:40 p.m. he at-	tempted to call an attorney in New York.
block	262	-1	 any results on the ballistics test con-	ducted on the gun and on Oswald?
block	262	-1	 be favorable. I don't have a formal re-	port yet.
compound	272	concatenate	Russian-speaking citizens in the Dallas-	Fort Worth area—some of whom had resided
block	302	-1	^^s included it in his correspond-	ence with his brother Robert;
block	304	-1	ype was not freely permitted, do you be-	lieve that Oswald normally would have be
compound	309	concatenate	ted States; however, sometime after mid-	February, he received an invitation to s
compound	319	concatenate	t effort to gain information about anti-	Castro organizations operating in New Or
block	324	-1	 incident, it was felt that a demonstra-	tion would be entirely out of order, bec
block	324	-1	 to Dallas. But we thought that the con-	servatives in Dallas—I was told—were a p
compound	347	concatenate	erhaps identical to Oswald's Mannlicher-	Carcano. Thewitnesses agreed that the ma
compound	352	concatenate	 soliciting aid in connection with anti-	Castro activities. He said he had visite
block	357	-1	^®^ in Novem-	ber of that same year, Marina Oswald liv
block	360	-1	^^^ and her appearance is dis-	similar to the description of the woman 
block	361	-1	b, a downtown nightclub featuring strip-	tease dancers, and the Vegas Club, a roc
compound	367	removeHyphen	AROUSEL CLUB AND RUBY'S NEWSPAPER ADVER-	TISEMENT ANNOUNCING THAT THE VEGAS AND
compound	371	removeHyphen	n speaking with KLIF's Danny Patrick Mc-	Curdy, Ruby mentioned that he was going 
compound	372	concatenate	Streets, Ruby drove to the Dallas Times-	Herald, where he talked for about 15 min
compound	375	concatenate	rk of a group attempting to create anti-	Semitic feelings in Dallas and that he h
block	377	-1	Mrs. Hel-	mick claimed she overheard Paul, speakin
block	380	-1	^°^^ both Ruby and Senator main-	tained that Ruby did not leave their apa
block	387	-1	In ad-	dition to such generalized suspicion, th
block	393	-1	ncome were his two nightclubs—the Carou-	sel Club and the Vegas Club—^although he
compound	400	concatenate	ated that Ruby did not leave the Dallas-	Fort Worth area during September, Octobe
block	415	-1	d said that her husband did not say any-	thing about Governor Connally after his 
block	420	-1	I would kill any american who put a uni-	form on in defence of the american gover
compound	437	removeHyphen	, 1963 -INSETS SHOW SAMPLES OF HIS HAND-	BILLS ON WHICH HE HAD STAMPED HIS NAME A
block	448	-1	s lonely because he hadn't come the pre-	ceding weekend, and he wanted to make hi
block	457	-1	nteWgence operations of the Secret Serv-	ice.—The main job of the Protective Rese
block	461	-1	hout Lee Harvey Osioald prior to the as-	sassination.—No information concerning L
compound	464	concatenate	 broke out when he was accosted by anti-	Castro Cubans while distributing leaflet
block	469	-1	Accord-	ing to Revill, Hosty indicated that he w
block	530	-1	Commission or any agent or agency desig-	nated by the Commission for such purpose
block	530	-1	 hearing at which testimony is to be re-	ceived a member of the Commission shall 
block	531	-1	m transcript shall be made of all testi-	mony received by the Commission. Copies 
compound	536	concatenate	assin who lurked in the Washington rail-	Avay station to take the life of Preside
compound	545	concatenate	s tiiae. Dr. Paul Peters, Attending Uro-	Icgical Surgeon, and Dr. ICcrap Clark, D
block	545	-1	?^rry, Aatandins Sur-	gaon, Zs, Charias Baxter, -.^^cnc_:
block	559	-1	to not have the skin in-	cision over the actual path o? the missi
block	568	-1	Situated in the low anterior neck at ap-	proximately the level of the third and f
block	570	-1	ns are in their normal positions and re-	lationships- and there is no increase in
block	570	-1	The lungs are of essentially similar ap-	pearance the right weighing 320 Gm. , th
block	577	-1	ch are placed on any bolt face are acci-	dental in nature. That is, they are not 
block	577	-1	f a milling machinetravels around a sur-	face, it takes off actually a dust—it is
block	579	-1	by using that picture, some of the mark-	ings which you have seen under the micro
block	579	-1	a person without firearms training—fire-	arms-identification training—be able to 
block	580	-1	that person could look throughthe micro-	scope. He may or may not see these indiv
block	580	-1	this is, then, a matter of expert inter-	pretation rather than a point-for-point 
block	580	-1	yes. I don't think a layman would recog-	nize some of the things on these cartrid
compound	588	concatenate	nchester and one of which was Remington-	Peters
block	595	-1	lective service system notice of classi-	fication and a spurious certificate of s
block	616	-1	; (3) the shirt wornby Oswaldon Novem-	ber 22, 1963, Commission Exhibit No. 150
block	616	-1	he outside of the fiber. The major iden-	tifying characteristics of viscose, apar
block	616	-1	ose, apart from color, are diameter—hun-	dreds of variations being possible—and s
block	622	0	 back removed to show the camera's film-	plane aperture.
block	623	-1	is the basis of your statement, the the-	oretical basis of your statement, that e
