page	line	token	pieces	class	atRunBoundary	marked
19	3	Tuesday,	Tue + sday,	word	no	Tuesday, September 11, 2001, dawned temperate and nearly cloudless in
19	3	September	Se + ptembe + r	word	no	Tuesday, September 11, 2001, dawned temperate and nearly cloudless in
19	3	2001,	20 + 01,	word	no	Tuesday, September 11, 2001, dawned temperate and nearly cloudless in
25	37	moves.Call	moves. + Call	punct	no	strange moves.Call United Airlines—Tell them it’s Flight 175,Boston to LA.”
41	5	Region:Yes,	Region: + Yes,	punct	no	New England Region:Yes, I am.
44	12	FAA:Yes.	FAA: + Yes.	punct	no	FAA:Yes.
48	12	staff’s	staff + ’s	punct	no	analysis and by evidence from the Commission staff’s analysis of radar,the flight
48	18	Headquarters:Yes.	Headquarters: + Yes.	punct	no	FAA Headquarters:Yes.
49	14	FAA:Yeah,	FAA: + Yeah,	punct	no	FAA:Yeah, he’s down.
49	16	FAA:Yes.	FAA: + Yes.	punct	no	FAA:Yes.
54	37	NMCC.	NMCC + .	punct	no	passed to the NMCC.As one witness recalled,“[It] was almost like there were
61	25	SecDef:Yes,	SecDef: + Yes,	punct	no	SecDef:Yes, I understand.Who did you give that direction to?
61	30	President:Yes,	President: + Yes,	punct	no	Vice President:Yes, it has.
83	9	Banshiri,one	Banshiri, + one	punct	no	He also lost the head of his military committee,Abu Ubaidah al Banshiri,one
89	3	chapter	chapte + r	word	no	In chapter 2, we described the growth of a new kind of terrorism, and a
91	13	Mohammed—Yousef’s	Mohammed—Yousef + ’s	punct	no	ously.Khalid Sheikh Mohammed—Yousef’s uncle,then located in Qatar—was
114	23	1977,aWest	1977, + aWest	punct	no	terrorists,and rescued all but one of the hostages.In October 1977,aWest Ger-
131	38	“Jeff”	“Jeff + ”	punct	no	ney for the Southern District of New York, and her staff.Though “Jeff” also
132	9	“Jeff”	“Jeff + ”	punct	no	The principals did not meet. On May 29,“Jeff” informed “Mike” that he
132	25	off”	off + ”	punct	no	his chief operations officers, he alone had decided to “turn off” the opera-
138	27	off”	off + ”	punct	no	off” event. It would show that the United States was committed to a relentless
144	22	Musharraf’s	Musharraf + ’s	punct	no	At first,the Clinton administration hoped that Musharraf’s coup might cre-
144	35	off”	off + ”	punct	no	the plan to capture Bin Ladin, which had been “turned off” three months ear-
149	25	Staff’s	Staff + ’s	punct	no	come to regret the decision not to go ahead.”¦119 ¦The Joint Staff’s deputy direc-
153	26	Staff’s	Staff + ’s	punct	no	their use,and John Maher,the Joint Staff’s deputy director of operations,agreed
164	25	Yousef’s	Yousef + ’s	punct	no	which he attended with Yousef’s brother, another future al Qaeda member.
164	33	Sayyaf’s	Sayyaf + ’s	punct	no	vided KSM with military training at Sayyaf’s Sada camp. KSM claims he then
165	14	Yousef’s	Yousef + ’s	punct	no	learned of RamziYousef’s intention to launch an attack inside the United States
165	20	Yousef’s	Yousef + ’s	punct	no	Yousef’s co-conspirator, Mohammed Salameh. KSM does not appear to have
165	22	Yousef’s	Yousef + ’s	punct	no	Yousef’s instant notoriety as the mastermind of the 1993 World Trade Cen=
165	44	Yousef’s	Yousef + ’s	punct	no	Yousef’s bomb-making operation in Manila; but by that time, KSM was safely
166	7	Yousef’s	Yousef + ’s	punct	no	Yousef’s arrest,visiting the Sudan,Yemen,Malaysia,and Brazil in 1995.No clear
167	42	Atef’s	Atef + ’s	punct	no	dated computer equipment. Bin Ladin, apparently at Atef’s urging, finally
168	42	Sayyaf’s	Sayyaf + ’s	punct	no	going training at Rasul Sayyaf’s Sada camp (where KSM would later train),
175	31	Karachi.Hazmi	Karachi. + Hazmi	punct	no	In early December 1999, Khallad and Abu Bara arrived in Karachi.Hazmi
175	32	Karachi,Hazmi	Karachi, + Hazmi	punct	no	joined them there a few days later.On his way to Karachi,Hazmi spent a night
179	12	belief”	belief + ”	punct	no	to the group if he was “ready to fight for [his] belief” and dismissed him as too
192	3	chapters	chapte + r + s	word	no	In chapters 3 and 4 we described how the U.S. government adjusted its
193	40	Encyclopedia.Six	Encyclopedia. + Six	punct	no	of acids, several forged Saudi passports, detonators, and Deek’s Encyclopedia.Six
199	7	Nawaf’s	Nawaf + ’s	punct	no	Salem was Nawaf’s younger brother. Seeing links not only with al Qaeda but
199	16	Nawaf’s	Nawaf + ’s	punct	no	Though Nawaf’s trail was temporarily lost,the CIA soon identified“Khalid”
200	12	“kick-off”	“kick-off + ”	punct	no	been disrupted, the millennium might be only the “kick-off” for a period of
200	26	“if”	“if + ”	punct	no	question not of “if”but rather of “when”and “where.”¦59¦The Principals Com=
201	43	Musharraf’s	Musharraf + ’s	punct	no	Musharraf’s coup. Sheehan was critical of Musharraf, telling us that the Pak=
207	13	Staff’s	Staff + ’s	punct	no	In late 1999 or early 2000,the Joint Staff’s director of operations,Vice Admi=
208	20	staff’s	staff + ’s	punct	no	NSC staff’s performance but observing that this was no time for compla=
213	3	itself”	itself + ”	punct	no	iban itself” and U.S. efforts to ensure that the Taliban would never defeat the
227	37	..	. + .	punct	no	tect its citizens .. . from terrorist attacks.” The budget guidance issued the next
231	14	them.You	them. + You	punct	no	them.You are left waiting for the big attack, with lots of casualties,after which some
254	43	arrived.Hawsawi	arrived. + Hawsawi	punct	no	States and later check with Atta to confirm that each had arrived.Hawsawi 
316	14	in.	in + .	punct	no	have a lot of information coming in.We didn’t receive any reports of what was
321	23	Tower.They	Tower. + They	punct	no	begun ascending either stairwell A or C of the NorthTower.They began check=
325	8	Tower.Within	Tower. + Within	punct	no	FDNY Personnel above the Ground Floors of the North Tower.Within
332	34	sheriff’s	sheriff + ’s	punct	no	Pentagon attack. In addition to county fire, police, and sheriff’s departments,
340	17	Instructions.As	Instructions. + As	punct	no	Evacuation Instructions.As discussed above,the location of the NYPD ESU
341	13	...	. + . + .	punct	no	...
341	14	lesson	le + sson	word	no	The lesson of 9/11 for civilians and first responders can be stated simply:
343	2	After	Afte + r	word	no	After the attacks had occurred, while crisis managers were still sorting
