page	line	token	pieces	class	atRunBoundary	marked
14	26	‘exceed[]	‘exceed[ + ]	punct	no	does not ‘exceed[] the bounds of the permissible.’” Id., at
14	26	permissible.’”	permissible.’ + ”	punct	no	does not ‘exceed[] the bounds of the permissible.’” Id., at
16	28	government’”—like	government’ + ”—like	punct	no	ing ‘practice of the government’”—like any other interpre-
16	30	is.’”	is.’ + ”	punct	no	law is.’” NLRB v. Noel Canning, 573 U. S. 513, 525 (2014)
17	31	point[]	point[ + ]	punct	no	point[] an agent to act within that sphere of legislative au-
19	18	‘employee.’”	‘employee.’ + ”	punct	no	‘employee.’” Id., at 130. The Court accordingly viewed its
19	20	“‘warrant	“ + ‘warrant	punct	no	termination had a “‘warrant in the record’ and a reasonable
25	10	delegate[]”	delegate[ + ]”	punct	no	statutes. For example, some statutes “expressly delegate[]”
26	10	“‘reasoned	“ + ‘reasoned	punct	no	(1983), and ensuring the agency has engaged in “‘reasoned
27	4	‘bubble’”	‘bubble’ + ”	punct	no	though they were encased within a single ‘bubble’” was con-
27	17	“employ[]	“employ[ + ]	punct	no	to “employ[] traditional tools of statutory construction.”
35	11	cable.’”	cable.’ + ”	punct	no	cable.’” United States v. Mead Corp., 533 U. S. 218, 230
35	34	significance.’”	significance.’ + ”	punct	no	political significance.’” King v. Burwell, 576 U. S. 473, 486
35	38	device[s],’”	device[s],’ + ”	punct	no	through ‘modest words,’ ‘vague terms,’ or ‘subtle device[s],’”
38	29	“‘[A]mbiguity’	“ + ‘[A]mbiguity’	punct	no	were four decades ago. “‘[A]mbiguity’ is a term that may
41	5	“‘stable	“ + ‘stable	punct	no	Nor has Chevron been the sort of “‘stable background’
41	16	misplaced.’”	misplaced.’ + ”	punct	no	reliance based on its clarity are misplaced.’” Janus, 585
42	35	“‘special	“ + ‘special	punct	no	cannot constitute a “‘special justification’” for overruling
42	35	justification’”	justification’ + ”	punct	no	cannot constitute a “‘special justification’” for overruling
43	7	“‘Judges	“ + ‘Judges	punct	no	The dissent ends by quoting Chevron: “‘Judges are not
43	8	field.’”	field.’ + ”	punct	no	experts in the field.’” Post, at 31 (quoting 467 U. S., at 865).
43	13	“‘are	“ + ‘are	punct	no	lected epigraph is that judges “‘are not part of either politi-
43	14	branch.’”	branch.’ + ”	punct	no	cal branch.’” Post, at 31 (quoting Chevron, 467 U. S., at
53	28	confirmed”	confirmed + ”	punct	no	ings “repeatedly confirmed” may supply better evidence of
55	32	“‘inexorable	“ + ‘inexorable	punct	no	decisis is not an “‘inexorable command.’” State Oil Co. v.
55	32	command.’”	command.’ + ”	punct	no	decisis is not an “‘inexorable command.’” State Oil Co. v.
65	32	“‘no	“ + ‘no	punct	no	means that “‘no man can be a judge in his own case.’” Wil-
65	32	case.’”	case.’ + ”	punct	no	means that “‘no man can be a judge in his own case.’” Wil-
67	11	“‘in	“ + ‘in	punct	no	the power of punishment firmly “‘in the legislative, not in
67	12	department.’”	department.’ + ”	punct	no	the judicial department.’” Id., at 391 (quoting United
70	3	“‘permissible.’”	“ + ‘permissible.’ + ”	punct	no	agency’s regulation as “‘permissible.’” 45 F. 4th 359, 365
71	9	“‘reasonable’”	“ + ‘reasonable’ + ”	punct	no	bilities. They may be able to lobby for new “‘reasonable’”
72	7	“‘permissible’”	“ + ‘permissible’ + ”	punct	no	but it represented a “‘permissible’” one. 598 U. S., at ___
75	20	“‘statute	“ + ‘statute	punct	no	interpretations of the law whenever a “‘statute is silent or
75	21	ambiguous.’”	ambiguous.’ + ”	punct	no	ambiguous.’” NLRB v. Food & Commercial Workers,
87	32	source[]”	source[ + ]”	punct	no	tionary source[]” refer to each pollution-emitting piece
97	24	question[]	question[ + ]	punct	no	“relevant question[] of law” as when it uses a de novo stand-
100	32	state[]	state[ + ]	punct	no	state[] the present law as to the scope of judicial review.”
101	30	“restate[]	“restate[ + ]	punct	no	5 ¦Because the APA was meant to “restate[] the present law,” the judi-
102	8	Powell’”).	Powell’ + ”).	punct	no	Gray v. Powell’”). There, the Court deferred to an agency
103	4	“restate[]	“restate[ + ]	punct	no	cepts that Section 706 was meant to “restate[] the present
110	29	“define[]”	“define[ + ]”	punct	no	authorize an agency to “define[]” or “delimit[]” statutory
110	29	“delimit[]”	“delimit[ + ]”	punct	no	authorize an agency to “define[]” or “delimit[]” statutory
